template page,Line Code,Category,Internal Description,Include,Unit Cost,Unit,Total Cost,Summed_Totals,Dimension,description (title),Calculations,Description (notes),Description (additional guidance),Description5
0,cd1@,client details (address) ,Client Address,Y,,,,0,,"29 Arlington Road, W5 9EF",,,,
0,todays_date@,date of proposal ,Date,Y,,,,0,,31.08.24,,,,
0,img1,image ,Cover Image,Y,,,,0,,https://drive.google.com/uc?export=view&id=1hmE_iO_932ral6tv58ssqoKEHKpXkoww,,,,
1,sn1#,special notes,Client Site Preparation,Y,,,0.00,0,,CLIENT SITE PREPARATION ,,,,
1,sn1a,special notes,Client Site Preparation (notes) ,Y,,,0.00,0,,,,"– It is the client’s responsibility to arrange for the uplift and/or removal of carpet and personal items prior to works commencing. Should this not be done then the building team will sheet over the existing carpet. Any furniture that is to remain, is to be protected by the client. Plus Rooms do not guarantee against damage or dust ingress.",,
1,sn2#,special notes,"New Patio, Decking or Steps ",Y,,,0.00,0,,"NEW PATIO, DECKING OR STEPS ",,,,
1,sn2a,special notes,"New Patio, Decking or Steps (notes)",Y,,,0.00,0,,,,"– The quotation has not made any allowance for an external decking, patio or steps leading out to the garden. This can be priced on site direct by either the finishing’s team or foreman as directed by your project co-ordinator.",,
1,sn3#,special notes,Existing Decking & Fences ,Y,,,0.00,0,,EXISTING DECKING & FENCES,,,,
1,sn3a,special notes,Existng Decking & Fences (notes) ,Y,,,0.00,0,,,," – Any existing decking and fences will be removed and disposed of as part of the works. If you would like to retain any decking or fences, please arrange for these to be removed and safely stored prior to the commencement of the works.",,
1,sn4#,special notes,Garden,Y,,,0.00,0,,GARDEN,,,,
1,sn4a,special notes,Garden (notes) ,Y,,,0.00,0,,,,"– Please be aware that the we will need to use your front & rear garden as a working area for the purposes of constructing the extension and storing the materials during the works. This will cause damage to garden, particularly the grass, and we would ask that any plants you which to retain are removed and safely stored prior to works commencing. It is advisable to allow a budget for re-turfing once the works are complete. ",,
1,sn4b*,special notes,Garden (advisory) ,Y,,,0.00,0,,,,,*PLEASE NOTE – THAT IF YOU HAVE SYNTHETIC GRASS WE RECOMMEND THAT IT IS UPLIFTED AND REMOVED PRIOR TO WORKS COMMENCING AS WE CANNOT GUARANTEE IT WILL NOT GET DAMAGED.,
1,sn5#,special notes,House Alarms,Y,,,0.00,0,,HOUSE ALARMS,,,,
1,sn5a,special notes,House Alarms (notes) ,Y,,,0.00,0,,,, – It is the client’s responsibility to disconnect or relocate the alarm sensors prior to works taking place. Plus Rooms do not take any responsibility/ liability for damage caused to the existing system.   ,,
1,sn6#,special notes,Access Areas & Front Door Re-decorating,Y,,,0.00,0,,ACCESS AREAS & FRONT DOOR RE-DECORATING,,,,
1,sn6a,special notes,Access Areas & Front Door Re-decorating (notes),Y,,,0.00,0,,,," – The client will need to budget for redecorating the ground floor hallway, front door and any other area used for access once the building works have been completed. This can be priced for by the finishing team. The company recommends the client take up floor coverings where possible. We will endeavour to protect any non-removable floor coverings but we are not liable for any damage. ",,
1,sn6b*,special notes,Access Areas & Front Door Re-decorating (advisory),Y,,,0.00,0,,,,,"*PLEASE NOTE – IF YOU HAVE AN OLD LOCKING SYSTEM TO THE FRONT DOOR, THERE IS A POSSIBILITY THAT THIS WILL NEED TO BE REPLACED AT THE END OF THE PROJECT.  ",
1,sn7#,special notes,Original Cornicing,Y,,,0.00,0,,ORIGINAL CORNICING,,,,
1,sn7a,special notes,Original Cornicing (notes) ,Y,,,0.00,0,,,," – Plus Rooms are not responsible for any damage to existing architrave skirting boards, coving, dado and picture rails or similar. The cost to repair/ replace such items is to be priced directly by the finishing’s team or others.",,
1,sn8#,special notes,Cracking,Y,,,0.00,0,,CRACKING ,,,,
1,sn8a,special notes,Cracking (notes) ,Y,,,0.00,0,,,,– It is reasonable to assume that cracks will occur when supporting walls are removed and steel beams are inserted. Plus Rooms are responsible for all structural cracking. Cosmetic cracks and hairline cracks that require filling and painting fall under decoration works and can be priced for by the finishings team.,,
1,sn9#,special notes,"Trees, Hedges & Flowers",Y,,,0.00,0,,"TREES, HEDGES & FLOWERS",,,,
1,sn9a,special notes,"Trees, Hedges & Flowers (notes) ",Y,,,0.00,0,,,, – It’s the client’s responsibility to arrange for any trees and hedges to be removed prior to the building works starting should they be inside or within close proximity to where the building works are to take place. Any flowers or plants not removed will be skipped as part of the demolition.,,
1,sn10#,special notes,Gas/Electric Metres,Y,,,0.00,0,,GAS/ ELECTRIC METRES,,,,
1,sn10a,special notes,Gas/Electric Metres (notes),Y,,,0.00,0,,,, – If the gas or/ and the electric metre is positioned in a location where the building works are taking place then it is the clients responsibility to arrange for their suppliers to relocate them.,,
1,sn11#,special notes,Facilities ,Y,,,0.00,0,,FACILITIES ,,,,
1,sn11a,special notes,Facilities (notes) ,Y,,,0.00,0,,,,– This quotation is based on the understanding that a WC will be made available for the Plus Rooms team throughout the project. If this is not possible then it will be the client’s responsibility to provide a port-a-loo.  ,,
1,sn12#,special notes,Client to Vacate,N,,,0.00,0,,CLIENT TO VACATE,,,,
1,sn12a,special notes,Client to Vacate (notes),N,,,0.00,0,,,, – The quotation is based on the understanding that the property will be vacant for the duration of the building works.,,
2,dm1@,dimensions,Approximate extension size in metres (enter numbers only!) ,Y,,,,0,6.2m,,,6.2m,,
2,dm2@,dimensions,Rear depth from the original rear wall,N,,,,0,metres rear depth from the original rear wall,,,metres rear depth from the original rear wall,,
2,dm3@,dimensions,Full width of wall ,Y,,,,0,5.5 metres full width with ,,,5.5 metres full width with ,,
2,dm4@,dimensions,Metres width in wall side return.,Y,,,,0,2.6 metres width in the side return,,,2.6 metres width in the side return,,
2,nb1#,Neighbours,Left side neighbour door number/name,Y,,,,0,,,,Neighbours No.27:,,
2,nb2#,Neighbours,Right side neighbour door number/name,N,,,,0,,,,Neighbour No XY:,,
2,bl1^,Boundary line ,Construct the new wall up to the boundary line. (left side),Y,,,,0,,,,Construct the new wall up to the boundary line. ,,
2,bl2^,Boundary line ,Construct the new wall up to/inside the boundary line (left side),N,,,,0,,,,Construct the new wall up to/inside the boundary line.,,
2,bl3^,Boundary line ,Construct using the neighbour's party wall (left side),N,,,,0,,,,Construct using the neighbour's party wall.,,
2,bl4^,Boundary line ,Construct the wall in line with the side of the house (left side),N,,,,0,,,,Construct the wall in line with the side of the house.,,
2,bl5^,Boundary line ,Construct using the existing party wall (3.00m) (left side),N,,,,0,,,,Construct using the existing party wall (3.00m).,,
2,bl6^,Boundary line ,Construct a new insulated cavity wall for the remaining 3.00m over the party wall line - straddling the boundary (left side),Y,,,,0,,,,Construct a new insulated cavity wall for the remaining 3.00m over the party wall line - straddling the boundary.,,
2,bl7^,Boundary line ,Construct the new wall up to the boundary line (right side),N,,,,0,,,,Construct the new wall up to the boundary line. ,,
2,bl8^,Boundary line ,Construct the new wall up to/inside the boundary line (right side),N,,,,0,,,,Construct the new wall up to/inside the boundary line.,,
2,bl9^,Boundary line ,Construct using the neighbour's party wall (right side),N,,,,0,,,,Construct using the neighbour's party wall.,,
2,bl10^,Boundary line ,Construct the wall in line with the side of the house (right side),N,,,,0,,,,Construct the wall in line with the side of the house.,,
2,bl11^,Boundary line ,Construct using the existing party wall (3.00m) (right side),N,,,,0,,,,Construct using the existing party wall (3.00m).,,
2,bl12^,Boundary line ,Construct a new insulated cavity wall for the remaining 3.00m over the party wall line - straddling the boundary (right side),N,,,,0,,,,Construct a new insulated cavity wall for the remaining 3.00m over the party wall line - straddling the boundary.,,
2,bs1@,Basement ,The property does have a basement ,N,,,,0,,,,The property does have a basement.,,
2,bs2@,Basement ,The property does not have a basement,Y,,,,0,,,,The property does not have a basement.,,
2,cs1#,Council status,Local Council ,Y,,,,0,,,,Ealing,,
2,cs2^,Council status,Property is located within a conservation area,N,,,,0,,,,Property is located within a conservation area.,,
2,cs3^,Council status,Property is not located within a conservation area,Y,,,,0,,,,Property is not located within a conservation area.,,
